127.0.0.1 - - [20/Apr/2020:14:40:46 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:40:47 +0900] "GET /jsp_test/bootstrap/grid/top_left.html HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:40:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:44:07 +0900] "GET /jsp_test/bootstrap/grid/top_left.html HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:51:37 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:52:26 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:52:29 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:52:37 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:54:23 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:54:24 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:54:30 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [20/Apr/2020:14:54:35 +0900] "GET /jsp_test/bootstrap/grid/top_right.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:07:37 +0900] "GET /jsp_test/bootstrap/grid/top_left_right.html HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:11:25 +0900] "GET /jsp_test/bootstrap/table/table.html HTTP/1.1" 200 4989
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:13:49 +0900] "GET /jsp_test/bootstrap/table/table.html HTTP/1.1" 200 4989
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:42:22 +0900] "GET /jsp_test/bootstrap/form/form1.html HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:03:11 +0900] "GET /jsp_test/bootstrap/form/form1.html HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:22:44 +0900] "GET /jsp_test/bootstrap/form/button.html HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:28:34 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:28:34 +0900] "GET /jsp_test/bootstrap/form/rose.jpg HTTP/1.1" 200 5975
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:31:02 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:31:02 +0900] "GET /jsp_test/bootstrap/form/rose.jpg HTTP/1.1" 200 5975
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:32:14 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:32:14 +0900] "GET /jsp_test/bootstrap/form/rose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:32:19 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:32:20 +0900] "GET /jsp_test/bootstrap/form/rose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:36:58 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:36:58 +0900] "GET /jsp_test/bootstrap/form/tulip.jpg HTTP/1.1" 200 283800
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:37:06 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:37:06 +0900] "GET /jsp_test/bootstrap/form/tulip.jpg HTTP/1.1" 200 283800
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:37:57 +0900] "GET /jsp_test/bootstrap/form/image.html HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:37:57 +0900] "GET /jsp_test/bootstrap/form/tulip.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:42:03 +0900] "GET /jsp_test/bootstrap/component/glyphicon.html HTTP/1.1" 200 20318
