127.0.0.1 - - [02/Jun/2020:09:35:42 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Jun/2020:09:36:00 +0900] "GET /team4/index.jsp HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [02/Jun/2020:09:36:00 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.52 - - [02/Jun/2020:09:41:21 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.52 - - [02/Jun/2020:09:41:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.52 - - [02/Jun/2020:09:41:23 +0900] "GET /team4/porder/create.do HTTP/1.1" 200 2010
172.16.12.52 - - [02/Jun/2020:09:41:31 +0900] "GET /team4/porder/list.do HTTP/1.1" 200 7561
172.16.12.4 - - [02/Jun/2020:09:41:37 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.4 - - [02/Jun/2020:09:41:37 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.4 - - [02/Jun/2020:09:41:47 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6337
172.16.12.4 - - [02/Jun/2020:09:41:47 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6337
172.16.12.4 - - [02/Jun/2020:09:41:47 +0900] "GET /team4/shopping_cart/sample.png HTTP/1.1" 200 136287
172.16.12.4 - - [02/Jun/2020:09:41:57 +0900] "GET /team4/porder/create.do HTTP/1.1" 200 2010
172.16.12.4 - - [02/Jun/2020:09:42:01 +0900] "GET /team4/porder/list.do HTTP/1.1" 200 7561
172.16.12.4 - - [02/Jun/2020:09:42:03 +0900] "GET /team4/porder/update.do HTTP/1.1" 404 780
172.16.12.4 - - [02/Jun/2020:09:42:05 +0900] "GET /team4/porder/delete.do HTTP/1.1" 404 780
172.16.12.52 - - [02/Jun/2020:09:42:25 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.24 - - [02/Jun/2020:09:42:58 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.24 - - [02/Jun/2020:09:42:58 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.52 - - [02/Jun/2020:09:43:21 +0900] "GET /team4/ HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [02/Jun/2020:11:05:18 +0900] "GET /team4/index.jsp HTTP/1.1" 200 616
172.16.12.30 - - [02/Jun/2020:11:15:09 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.30 - - [02/Jun/2020:11:15:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.30 - - [02/Jun/2020:11:15:12 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6337
172.16.12.30 - - [02/Jun/2020:11:15:12 +0900] "GET /team4/shopping_cart/sample.png HTTP/1.1" 200 136287
172.16.12.30 - - [02/Jun/2020:11:15:48 +0900] "GET /team4/shopping_cart/delete.do?porderno= HTTP/1.1" 404 787
172.16.12.52 - - [02/Jun/2020:11:30:36 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.52 - - [02/Jun/2020:11:30:40 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6337
172.16.12.52 - - [02/Jun/2020:11:30:40 +0900] "GET /team4/shopping_cart/sample.png HTTP/1.1" 200 136287
172.16.12.52 - - [02/Jun/2020:11:30:45 +0900] "GET /team4/porder/create.do HTTP/1.1" 200 2010
172.16.12.52 - - [02/Jun/2020:11:30:51 +0900] "GET /team4/porder/list.do HTTP/1.1" 200 7561
172.16.12.52 - - [02/Jun/2020:11:30:55 +0900] "GET /team4/porder/update.do HTTP/1.1" 404 780
172.16.12.52 - - [02/Jun/2020:11:30:58 +0900] "GET /team4/porder/delete.do HTTP/1.1" 404 780
172.16.12.52 - - [02/Jun/2020:11:31:00 +0900] "GET /team4/porder/list.do HTTP/1.1" 200 7561
172.16.12.24 - - [02/Jun/2020:11:35:32 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.95 - - [02/Jun/2020:13:01:47 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.95 - - [02/Jun/2020:13:01:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.95 - - [02/Jun/2020:13:01:50 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6337
172.16.12.95 - - [02/Jun/2020:13:01:50 +0900] "GET /team4/shopping_cart/sample.png HTTP/1.1" 200 136287
172.16.12.95 - - [02/Jun/2020:13:02:07 +0900] "GET /team4/porder/create.do HTTP/1.1" 200 2017
172.16.12.95 - - [02/Jun/2020:13:02:11 +0900] "GET /team4/porder/list.do HTTP/1.1" 200 7561
172.16.12.95 - - [02/Jun/2020:13:02:18 +0900] "GET /team4/porder/update.do HTTP/1.1" 404 780
172.16.12.95 - - [02/Jun/2020:13:02:20 +0900] "GET /team4/porder/delete.do HTTP/1.1" 404 780
172.16.12.95 - - [02/Jun/2020:13:02:22 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6337
172.16.12.95 - - [02/Jun/2020:13:02:30 +0900] "GET /team4/shopping_cart/delete.do?porderno= HTTP/1.1" 404 787
172.16.12.10 - - [02/Jun/2020:14:10:43 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.10 - - [02/Jun/2020:14:10:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
172.16.12.10 - - [02/Jun/2020:14:10:46 +0900] "GET /team4/porder/create.do HTTP/1.1" 200 2017
172.16.12.95 - - [02/Jun/2020:14:23:51 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.30 - - [02/Jun/2020:14:44:56 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.30 - - [02/Jun/2020:15:35:16 +0900] "GET /team4/ HTTP/1.1" 200 616
172.16.12.30 - - [02/Jun/2020:15:35:18 +0900] "GET /team4/porder/create.do HTTP/1.1" 200 2017
172.16.12.30 - - [02/Jun/2020:15:55:58 +0900] "GET /team4/ HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:33:25 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6357
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:33:25 +0900] "GET /team4/shopping_cart/sample.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:34:41 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:35:06 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:35:08 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [02/Jun/2020:16:35:21 +0900] "GET /team4/shopping_cart/list.jsp HTTP/1.1" 200 6436
