사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2020-01,1호선,0150,서울역,"1,445,261","1,337,363","205,003","197,190",2020-02-03 12:20:00
2020-01,1호선,0151,시청,"623,387","633,560","107,077","107,246",2020-02-03 12:20:00
2020-01,1호선,0152,종각,"1,093,566","1,049,286","161,226","151,128",2020-02-03 12:20:00
2020-01,1호선,0153,종로3가,"619,272","595,970","364,104","338,705",2020-02-03 12:20:00
2020-01,1호선,0154,종로5가,"507,339","513,603","255,145","245,168",2020-02-03 12:20:00
2020-01,1호선,0155,동대문,"284,724","313,871","122,756","126,600",2020-02-03 12:20:00
2020-01,1호선,0156,신설동,"323,258","316,893","117,081","110,677",2020-02-03 12:20:00
2020-01,1호선,0157,제기동,"260,659","255,740","335,767","360,747",2020-02-03 12:20:00
2020-01,1호선,0158,청량리(서울시립대입구),"400,999","406,766","316,427","322,368",2020-02-03 12:20:00
2020-01,1호선,0159,동묘앞,"156,787","168,473","141,311","143,603",2020-02-03 12:20:00
2020-01,2호선,0201,시청,"665,333","629,991","57,265","52,094",2020-02-03 12:20:00
2020-01,2호선,0202,을지로입구,"1,343,584","1,350,749","110,507","102,302",2020-02-03 12:20:00
2020-01,2호선,0203,을지로3가,"569,762","569,841","82,989","82,254",2020-02-03 12:20:00
2020-01,2호선,0204,을지로4가,"292,240","294,242","86,499","83,974",2020-02-03 12:20:00
2020-01,2호선,0205,동대문역사문화공원,"420,734","485,431","55,402","58,430",2020-02-03 12:20:00
2020-01,2호선,0206,신당,"325,478","342,278","96,146","99,020",2020-02-03 12:20:00
2020-01,2호선,0207,상왕십리,"342,945","325,808","65,266","65,191",2020-02-03 12:20:00
2020-01,2호선,0208,왕십리(성동구청),"470,054","399,334","56,886","47,777",2020-02-03 12:20:00
2020-01,2호선,0209,한양대,"212,741","228,859","13,680","14,465",2020-02-03 12:20:00
2020-01,2호선,0210,뚝섬,"489,458","520,507","56,941","57,555",2020-02-03 12:20:00
2020-01,2호선,0211,성수,"762,458","831,318","101,411","102,910",2020-02-03 12:20:00
2020-01,2호선,0212,건대입구,"1,133,278","1,246,969","92,488","95,998",2020-02-03 12:20:00
2020-01,2호선,0213,구의(광진구청),"593,417","571,550","106,273","107,366",2020-02-03 12:20:00
2020-01,2호선,0214,강변(동서울터미널),"1,119,525","1,109,529","132,190","127,900",2020-02-03 12:20:00
2020-01,2호선,0215,잠실나루,"358,769","345,698","86,494","86,858",2020-02-03 12:20:00
2020-01,2호선,0216,잠실(송파구청),"2,253,493","2,174,150","195,766","187,408",2020-02-03 12:20:00
2020-01,2호선,0217,잠실새내,"576,639","589,290","106,293","105,636",2020-02-03 12:20:00
2020-01,2호선,0218,종합운동장,"224,243","251,744","45,682","46,868",2020-02-03 12:20:00
2020-01,2호선,0219,삼성(무역센터),"1,540,362","1,571,611","116,956","109,867",2020-02-03 12:20:00
2020-01,2호선,0220,선릉,"1,340,537","1,193,596","208,485","183,121",2020-02-03 12:20:00
2020-01,2호선,0221,역삼,"1,228,226","1,374,812","154,515","156,941",2020-02-03 12:20:00
2020-01,2호선,0222,강남,"2,784,689","2,866,156","172,268","154,536",2020-02-03 12:20:00
2020-01,2호선,0223,교대(법원.검찰청),"849,695","966,026","157,288","178,227",2020-02-03 12:20:00
2020-01,2호선,0224,서초,"545,772","536,768","82,653","82,024",2020-02-03 12:20:00
2020-01,2호선,0225,방배,"426,727","442,229","76,366","75,603",2020-02-03 12:20:00
2020-01,2호선,0226,사당,"1,020,614","1,149,116","195,128","184,088",2020-02-03 12:20:00
2020-01,2호선,0227,낙성대,"724,258","693,491","110,334","111,787",2020-02-03 12:20:00
2020-01,2호선,0228,서울대입구(관악구청),"1,297,520","1,262,533","192,496","184,129",2020-02-03 12:20:00
2020-01,2호선,0229,봉천,"574,004","518,833","147,095","148,462",2020-02-03 12:20:00
2020-01,2호선,0230,신림,"1,763,905","1,708,075","237,349","239,406",2020-02-03 12:20:00
2020-01,2호선,0231,신대방,"694,787","655,651","124,629","125,614",2020-02-03 12:20:00
2020-01,2호선,0232,구로디지털단지,"1,639,496","1,638,407","177,531","179,862",2020-02-03 12:20:00
2020-01,2호선,0233,대림(구로구청),"703,347","721,705","115,324","119,169",2020-02-03 12:20:00
2020-01,2호선,0234,신도림,"1,432,064","1,426,374","206,155","197,218",2020-02-03 12:20:00
2020-01,2호선,0235,문래,"502,219","511,615","81,413","80,129",2020-02-03 12:20:00
2020-01,2호선,0236,영등포구청,"532,800","541,463","100,413","99,212",2020-02-03 12:20:00
2020-01,2호선,0237,당산,"508,772","582,544","61,066","66,117",2020-02-03 12:20:00
2020-01,2호선,0238,합정,"904,668","962,870","69,039","69,023",2020-02-03 12:20:00
2020-01,2호선,0239,홍대입구,"2,196,617","2,362,935","105,613","102,529",2020-02-03 12:20:00
2020-01,2호선,0240,신촌,"1,156,227","1,188,018","131,796","129,131",2020-02-03 12:20:00
2020-01,2호선,0241,이대,"406,737","428,994","50,642","51,679",2020-02-03 12:20:00
2020-01,2호선,0242,아현,"230,420","219,235","61,988","61,443",2020-02-03 12:20:00
2020-01,2호선,0243,충정로(경기대입구),"252,707","267,327","47,033","46,629",2020-02-03 12:20:00
2020-01,2호선,0244,용답,"60,418","59,482","17,208","16,682",2020-02-03 12:20:00
2020-01,2호선,0245,신답,"35,793","40,497","9,563","10,195",2020-02-03 12:20:00
2020-01,2호선,0246,신설동,"83,669","79,066","34,102","36,491",2020-02-03 12:20:00
2020-01,2호선,0247,도림천,"27,533","28,986","6,355","7,076",2020-02-03 12:20:00
2020-01,2호선,0248,양천구청,"160,431","168,897","45,787","46,480",2020-02-03 12:20:00
2020-01,2호선,0249,신정네거리,"215,094","222,644","66,633","67,447",2020-02-03 12:20:00
2020-01,2호선,0250,용두(동대문구청),"47,183","48,693","23,888","25,652",2020-02-03 12:20:00
2020-01,3호선,0309,지축,"47,320","46,703","11,219","13,023",2020-02-03 12:20:00
2020-01,3호선,0310,구파발,"523,891","490,686","116,200","109,557",2020-02-03 12:20:00
2020-01,3호선,0311,연신내,"921,788","875,564","272,733","264,789",2020-02-03 12:20:00
2020-01,3호선,0312,불광,"368,053","402,467","140,946","156,266",2020-02-03 12:20:00
2020-01,3호선,0313,녹번,"332,789","286,753","68,434","66,968",2020-02-03 12:20:00
2020-01,3호선,0314,홍제,"389,546","362,993","141,368","140,744",2020-02-03 12:20:00
2020-01,3호선,0315,무악재,"86,371","86,338","29,340","31,434",2020-02-03 12:20:00
2020-01,3호선,0316,독립문,"152,591","158,267","70,763","70,697",2020-02-03 12:20:00
2020-01,3호선,0317,경복궁(정부서울청사),"566,937","579,541","102,001","93,531",2020-02-03 12:20:00
2020-01,3호선,0318,안국,"581,468","607,142","102,087","108,715",2020-02-03 12:20:00
2020-01,3호선,0319,종로3가,"252,780","323,872","61,859","69,312",2020-02-03 12:20:00
2020-01,3호선,0320,을지로3가,"261,433","274,151","56,696","55,297",2020-02-03 12:20:00
2020-01,3호선,0321,충무로,36,0,3,0,2020-02-03 12:20:00
2020-01,3호선,0322,동대입구,"251,463","277,157","33,652","36,639",2020-02-03 12:20:00
2020-01,3호선,0323,약수,"316,268","305,352","81,065","77,270",2020-02-03 12:20:00
