사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-01,1호선,0150,서울역,908,18,"8,948","7,940","13,146","47,332","37,251","97,250","73,760","215,532","59,560","154,516","62,210","81,701","84,168","78,587","95,413","87,412","97,657","86,682","79,714","81,939","110,255","84,777","116,037","88,708","161,071","94,176","235,016","101,321","129,251","75,233","91,567","51,782","91,732","42,762","66,846","33,404","31,466","17,549","4,190","5,633",98,291,0,8,0,0,2020-02-03 12:20:06
2020-01,1호선,0151,시청,55,0,"1,999","3,976","3,497","19,177","7,417","60,452","9,330","192,100","11,934","83,874","14,763","45,181","20,957","45,937","24,807","44,684","30,626","46,711","38,849","41,838","51,606","33,414","58,397","27,894","77,658","26,527","158,475","26,415","66,799","15,223","52,413","8,853","53,343","7,879","34,039","5,823","12,937","3,747",556,"1,063",7,38,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0152,종각,126,5,"4,380","4,683","4,456","25,858","6,286","94,635","10,348","262,168","13,222","158,477","18,174","73,909","30,217","70,696","39,954","68,125","54,878","68,560","63,398","61,180","81,096","51,339","93,834","48,984","138,198","56,395","232,418","70,076","115,374","42,203","98,897","17,205","112,004","11,260","92,025","8,019","42,602","5,038","2,896","1,577",9,22,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0153,종로3가,160,25,"4,750","2,452","4,234","13,222","5,495","26,329","9,178","73,643","12,981","94,163","24,003","79,163","38,647","86,114","55,279","91,200","70,630","91,727","75,308","79,838","85,537","66,499","97,145","54,821","98,108","50,410","117,513","54,431","81,093","32,006","60,055","13,622","65,589","9,673","52,438","7,607","22,638","5,357","2,565","2,284",30,89,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0154,종로5가,38,0,"1,820","3,357","2,763","13,143","4,956","35,867","8,277","111,863","11,992","70,951","19,974","57,604","31,219","62,802","42,797","65,657","54,442","60,902","64,381","56,783","68,361","51,404","71,609","43,571","86,590","40,295","114,755","34,688","61,282","23,238","42,924","9,920","35,088","7,374","29,005","5,158","9,617","3,170",592,"1,011",2,13,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0155,동대문,725,8,"12,681","1,786","9,016","6,186","13,096","10,733","20,234","22,679","20,559","25,891","18,843","25,745","21,450","33,140","26,737","35,736","30,178","34,722","31,637","33,487","33,030","31,988","32,948","28,574","32,327","28,109","30,813","28,165","20,918","27,472","16,799","19,239","15,080","16,508","12,694","14,426","6,781","11,746",911,"4,037",22,90,1,4,0,0,2020-02-03 12:20:06
2020-01,1호선,0156,신설동,255,9,"9,111","1,920","9,472","7,410","17,886","20,807","28,259","67,545","20,115","36,395","18,640","23,009","22,647","21,604","24,543","21,225","26,027","21,919","25,892","21,978","27,786","22,166","30,180","23,308","41,123","25,874","63,229","29,961","26,655","23,637","16,531","15,702","15,461","15,596","11,209","14,636","4,827","10,009",484,"2,823",7,37,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0157,제기동,287,6,"4,758","2,046","7,810","8,367","19,985","17,277","31,530","41,858","23,620","40,581","25,522","43,243","35,782","56,749","44,588","64,105","50,778","66,882","57,711","63,233","66,162","49,114","63,323","40,936","52,662","29,025","47,031","28,638","24,537","20,578","16,736","12,466","11,481","11,658","8,182","10,868","3,571","7,038",369,"1,793",1,26,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0158,청량리(서울시립대입구),"1,217",11,"10,056","3,544","15,049","12,557","39,773","16,027","54,988","36,115","36,843","32,831","33,458","37,994","39,773","51,433","48,223","57,376","51,214","63,345","55,836","64,940","62,981","57,999","66,423","53,393","59,705","47,715","50,657","57,588","30,949","42,785","24,025","25,408","17,944","24,957","12,557","21,526","5,338","16,153",413,"5,346",4,91,0,0,0,0,2020-02-03 12:20:06
2020-01,1호선,0159,동묘앞,130,2,"3,039",732,"3,164","4,162","5,512","8,270","8,602","19,942","8,322","15,828","9,436","18,251","14,166","27,406","19,890","33,268","26,039","35,757","33,350","37,431","37,890","30,838","38,236","22,196","35,145","15,236","25,762","10,989","11,279","7,789","6,649","5,754","5,674","5,751","3,794","5,819","1,769","4,130",244,"2,362",6,152,0,11,0,0,2020-02-03 12:20:06
2020-01,2호선,0201,시청,30,1,"1,240","1,426","2,155","13,273","5,256","61,738","8,426","232,302","11,175","89,924","17,422","29,665","24,966","28,017","25,057","27,140","30,623","31,763","36,413","29,173","43,224","25,572","47,338","22,412","82,395","22,348","185,026","23,778","65,712","14,090","47,306","8,363","44,768","7,692","29,739","7,355","12,566","4,553","1,755","1,379",6,114,0,7,0,0,2020-02-03 12:20:06
2020-01,2호선,0202,을지로입구,78,0,"2,420","2,829","3,724","27,446","8,316","119,553","14,847","344,062","19,975","162,968","28,194","90,084","40,361","95,285","46,542","73,918","60,140","76,216","71,081","67,734","86,640","63,379","99,579","65,029","147,858","67,577","299,995","71,936","148,535","45,187","137,456","25,928","115,795","21,192","81,086","17,256","37,272","10,681","4,172","3,962",25,805,0,24,0,0,2020-02-03 12:20:06
2020-01,2호선,0203,을지로3가,8,0,"1,005","1,691","2,296","16,810","5,569","60,909","10,012","158,685","12,764","79,297","17,026","39,520","22,112","31,809","23,676","29,175","27,555","31,428","31,564","28,134","37,035","26,140","44,532","26,490","73,367","29,351","135,100","34,171","62,878","21,182","44,046","11,763","43,926","9,565","35,457","8,591","19,541","5,814","3,271","1,510",11,57,0,3,0,0,2020-02-03 12:20:06
2020-01,2호선,0204,을지로4가,3,0,867,"1,075","1,679","10,442","3,367","27,377","5,899","74,416","9,560","42,799","12,876","25,861","16,148","25,320","18,350","24,942","20,917","23,465","24,661","22,392","28,370","21,172","31,120","17,585","49,132","15,991","72,389","13,876","34,892","9,061","18,175","6,090","14,503","5,987","9,957","5,401","4,973","3,868",896,"1,054",5,42,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0205,동대문역사문화공원,349,3,"8,392",880,"4,521","8,037","6,808","18,223","12,708","50,941","13,360","38,741","15,083","31,977","18,224","30,981","22,554","31,519","24,355","35,149","28,522","34,070","34,222","31,685","39,289","31,056","48,224","32,755","59,193","39,209","38,991","42,367","29,587","29,749","27,382","23,070","25,851","17,732","15,509","11,642","2,992","3,937",20,135,0,3,0,0,2020-02-03 12:20:06
2020-01,2호선,0206,신당,33,2,"5,546","1,247","11,206","7,604","25,551","14,075","45,785","33,656","28,214","24,766","20,124","19,266","20,235","20,539","22,222","22,107","23,999","24,164","24,366","24,770","25,135","25,537","27,580","27,722","31,794","33,664","36,811","46,487","22,955","35,140","17,208","22,197","14,790","20,594","11,103","19,878","6,073","13,367",888,"4,447",6,69,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0207,상왕십리,30,0,"5,420",728,"11,961","5,409","36,487","10,012","62,742","33,204","34,843","19,359","21,997","13,867","20,990","12,684","21,580","14,205","21,332","16,642","19,375","17,508","20,242","19,745","20,596","21,888","24,579","29,243","30,638","49,333","18,705","36,724","12,678","24,242","11,462","23,115","8,165","22,577","3,757","15,265",626,"5,176",6,73,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0208,왕십리(성동구청),793,3,"7,174","1,026","10,897","5,925","25,993","10,267","52,081","27,018","32,492","20,061","21,063","15,128","21,954","17,259","24,387","19,619","26,779","21,296","25,965","22,070","27,245","23,728","30,226","27,861","37,710","36,986","43,231","62,193","28,389","44,515","26,659","25,644","30,881","22,733","30,436","21,771","19,537","15,961","3,027","5,908",21,139,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0209,한양대,3,0,"1,032",269,"2,428","6,174","5,773","9,814","9,399","30,231","7,031","40,511","6,192","19,748","9,397","14,010","10,533","17,622","12,353","18,139","12,805","13,088","15,297","10,470","23,465","9,923","31,702","10,246","29,927","12,523","13,887","8,729","10,364","5,879","10,452","5,336","8,444","5,418","4,922","3,869","1,011","1,289",4,36,0,0,0,0,2020-02-03 12:20:06
