국적,관광,상용,공용,유학/연수,기타,계,기준년월,대륙,관광객 비율(%),전체비율(%)
일본,202825,1750,89,549,3971,209184,2010-01,아시아,97.0,50.6
대만,35788,41,17,37,516,36399,2010-01,아시아,98.3,8.9
홍콩,13874,55,0,21,595,14545,2010-01,아시아,95.4,3.5
마카오,554,0,0,0,0,554,2010-01,아시아,100.0,0.1
태국,13374,39,13,53,4335,17814,2010-01,아시아,75.1,3.3
말레이시아,3292,61,0,49,1157,4559,2010-01,아시아,72.2,0.8
필리핀,3984,219,104,87,16820,21214,2010-01,아시아,18.8,1.0
인도네시아,1840,327,3,65,2826,5061,2010-01,아시아,36.4,0.5
싱가포르,4201,120,3,27,1017,5368,2010-01,아시아,78.3,1.0
미얀마,630,18,54,10,3882,4594,2010-01,아시아,13.7,0.2
베트남,1384,284,21,150,2676,4515,2010-01,아시아,30.7,0.3
인도,1646,1387,7,68,2918,6026,2010-01,아시아,27.3,0.4
스리랑카,39,28,2,13,566,648,2010-01,아시아,6.0,0.0
파키스탄,70,200,1,41,402,714,2010-01,아시아,9.8,0.0
방글라데시,86,84,9,42,489,710,2010-01,아시아,12.1,0.0
캄보디아,102,22,0,25,131,280,2010-01,아시아,36.4,0.0
몽골,2333,234,6,197,554,3324,2010-01,아시아,70.2,0.6
중국,40425,11930,55,2751,36091,91252,2010-01,아시아,44.3,10.1
이란,69,309,0,3,217,598,2010-01,아시아,11.5,0.0
이스라엘,792,11,0,0,53,856,2010-01,아시아,92.5,0.2
터키,472,15,2,15,465,969,2010-01,아시아,48.7,0.1
우즈베키스탄,190,293,17,40,740,1280,2010-01,아시아,14.8,0.0
카자흐스탄,238,48,4,22,107,419,2010-01,아시아,56.8,0.1
GCC,223,134,0,18,55,430,2010-01,아시아,51.9,0.1
아시아 기타,700,629,14,56,333,1732,2010-01,아시아,40.4,0.2
미국,26943,1195,2145,135,12647,43065,2010-01,아메리카,62.6,6.7
캐나다,4912,96,4,21,3743,8776,2010-01,아메리카,56.0,1.2
멕시코,252,29,1,4,93,379,2010-01,아메리카,66.5,0.1
브라질,459,46,1,11,248,765,2010-01,아메리카,60.0,0.1
미주 기타,501,25,8,29,291,854,2010-01,아메리카,58.7,0.1
영국,5746,383,4,20,1368,7521,2010-01,유럽,76.4,1.4
독일,5838,255,24,68,1458,7643,2010-01,유럽,76.4,1.5
프랑스,3019,343,44,115,1145,4666,2010-01,유럽,64.7,0.8
네덜란드,1205,47,1,20,449,1722,2010-01,유럽,70.0,0.3
스웨덴,579,63,5,17,185,849,2010-01,유럽,68.2,0.1
스위스,512,30,0,7,77,626,2010-01,유럽,81.8,0.1
이탈리아,1157,40,12,12,155,1376,2010-01,유럽,84.1,0.3
덴마크,378,28,0,5,94,505,2010-01,유럽,74.9,0.1
노르웨이,517,274,0,6,149,946,2010-01,유럽,54.7,0.1
벨기에,322,25,1,8,104,460,2010-01,유럽,70.0,0.1
오스트리아,440,13,2,9,141,605,2010-01,유럽,72.7,0.1
스페인,542,29,11,8,108,698,2010-01,유럽,77.7,0.1
그리스,345,47,0,0,213,605,2010-01,유럽,57.0,0.1
포르투갈,256,9,0,1,44,310,2010-01,유럽,82.6,0.1
핀란드,376,16,0,12,131,535,2010-01,유럽,70.3,0.1
아일랜드,311,16,0,1,198,526,2010-01,유럽,59.1,0.1
우크라이나,386,29,0,6,1515,1936,2010-01,유럽,19.9,0.1
러시아,4861,505,15,83,5409,10873,2010-01,유럽,44.7,1.2
크로아티아,166,20,0,1,298,485,2010-01,유럽,34.2,0.0
루마니아,142,12,0,9,370,533,2010-01,유럽,26.6,0.0
불가리아,103,0,0,9,414,526,2010-01,유럽,19.6,0.0
폴란드,378,29,0,10,431,848,2010-01,유럽,44.6,0.1
구주 기타,1219,37,0,49,410,1715,2010-01,유럽,71.1,0.3
오스트레일리아,6974,340,9,10,1098,8431,2010-01,오세아니아,82.7,1.7
뉴질랜드,1545,53,1,1,435,2035,2010-01,오세아니아,75.9,0.4
대양주 기타,730,0,4,4,168,906,2010-01,오세아니아,80.6,0.2
남아프리카공화국,214,27,0,2,545,788,2010-01,아프리카,27.2,0.1
아프리카 기타,349,594,25,86,296,1350,2010-01,아프리카,25.9,0.1
국적미상,10,3,0,0,0,13,2010-01,기타대륙,76.9,0.0
교포,0,0,0,0,22537,22537,2010-01,교포,0.0,0.0
일본,224475,1455,63,1172,3197,230362,2010-02,아시아,97.4,50.3
대만,35758,45,18,234,596,36651,2010-02,아시아,97.6,8.0
홍콩,22462,47,0,65,477,23051,2010-02,아시아,97.4,5.0
마카오,916,0,0,2,0,918,2010-02,아시아,99.8,0.2
태국,12358,33,36,131,4125,16683,2010-02,아시아,74.1,2.8
말레이시아,5914,58,3,358,1150,7483,2010-02,아시아,79.0,1.3
필리핀,4638,225,47,90,15411,20411,2010-02,아시아,22.7,1.0
인도네시아,2142,235,7,164,2374,4922,2010-02,아시아,43.5,0.5
싱가포르,4677,112,4,77,928,5798,2010-02,아시아,80.7,1.0
미얀마,584,19,3,35,3823,4464,2010-02,아시아,13.1,0.1
베트남,2447,235,9,755,3303,6749,2010-02,아시아,36.3,0.5
인도,951,1540,5,140,2803,5439,2010-02,아시아,17.5,0.2
스리랑카,68,36,3,18,571,696,2010-02,아시아,9.8,0.0
파키스탄,78,199,1,77,431,786,2010-02,아시아,9.9,0.0
방글라데시,78,102,12,100,367,659,2010-02,아시아,11.8,0.0
캄보디아,195,21,2,65,116,399,2010-02,아시아,48.9,0.0
몽골,2320,199,5,491,567,3582,2010-02,아시아,64.8,0.5
중국,60590,7907,68,29546,42460,140571,2010-02,아시아,43.1,13.6
이란,44,271,1,17,158,491,2010-02,아시아,9.0,0.0
이스라엘,800,5,2,3,34,844,2010-02,아시아,94.8,0.2
터키,418,17,12,43,384,874,2010-02,아시아,47.8,0.1
우즈베키스탄,205,296,22,59,714,1296,2010-02,아시아,15.8,0.0
카자흐스탄,168,80,0,101,120,469,2010-02,아시아,35.8,0.0
GCC,305,101,5,24,37,472,2010-02,아시아,64.6,0.1
아시아 기타,534,473,36,143,250,1436,2010-02,아시아,37.2,0.1
미국,26268,997,1315,391,12106,41077,2010-02,아메리카,63.9,5.9
캐나다,5033,68,1,31,3370,8503,2010-02,아메리카,59.2,1.1
멕시코,287,8,1,26,107,429,2010-02,아메리카,66.9,0.1
브라질,442,45,2,21,282,792,2010-02,아메리카,55.8,0.1
미주 기타,578,13,5,68,291,955,2010-02,아메리카,60.5,0.1
영국,4958,280,4,21,1207,6470,2010-02,유럽,76.6,1.1
독일,4849,157,12,150,1318,6486,2010-02,유럽,74.8,1.1
프랑스,2831,253,35,230,903,4252,2010-02,유럽,66.6,0.6
네덜란드,960,26,1,34,359,1380,2010-02,유럽,69.6,0.2
스웨덴,634,52,8,36,125,855,2010-02,유럽,74.2,0.1
스위스,454,14,0,18,48,534,2010-02,유럽,85.0,0.1
이탈리아,1106,28,2,19,101,1256,2010-02,유럽,88.1,0.2
덴마크,338,21,0,7,104,470,2010-02,유럽,71.9,0.1
노르웨이,474,241,0,12,87,814,2010-02,유럽,58.2,0.1
벨기에,324,17,1,8,100,450,2010-02,유럽,72.0,0.1
오스트리아,435,10,3,24,107,579,2010-02,유럽,75.1,0.1
스페인,478,11,5,25,81,600,2010-02,유럽,79.7,0.1
그리스,230,29,0,1,184,444,2010-02,유럽,51.8,0.1
포르투갈,370,7,0,1,37,415,2010-02,유럽,89.2,0.1
핀란드,354,10,1,57,129,551,2010-02,유럽,64.2,0.1
아일랜드,283,8,0,6,214,511,2010-02,유럽,55.4,0.1
우크라이나,318,15,0,23,1259,1615,2010-02,유럽,19.7,0.1
러시아,3156,429,8,220,4861,8674,2010-02,유럽,36.4,0.7
크로아티아,195,12,3,1,286,497,2010-02,유럽,39.2,0.0
루마니아,173,9,0,2,283,467,2010-02,유럽,37.0,0.0
불가리아,104,0,0,9,434,547,2010-02,유럽,19.0,0.0
